eggID,bd_liz_id,clutch,egg_encl_ID,species,trt,temp,hormone,hatch_date_dmy,season,date_egg_laid_dmy,Julian_lay,days_to_hatch,Julian_hatch_date,egg_mass,egg_length_mm,egg_width_mm,hatch_mass_orig,hatch_svl_orig_mm,hatch_tail_orig_mm,juv1_measure_date_dmy,juv1_measure_SVL_mm,juv1_measure_tail_mm,juv1_measure_mass_g,Liz_ID,juv2_measure_date_dmy,juv2_measure_SVL_mm,juv2_measure_tail_mm,juv2_measure_mass_g,person_juv2,Lizard_ID,liz_status_db,mortality_date_dmy,bd_totl_orig,notes_juv1,notes_juv2,notes_db
EG858_21,LD858_21,CL242_21,E015_M,delicata,C_28_Topical,28,control,13/2/2022,2021/22,14/1/2022,14,30,44,0.133,8.73,5.34,0.122,17,24,3/6/2022,29.5,42,0.45,LD858_21,NA,NA,NA,NA,,LD858_21,ALIVE,NA,,,,
EG862_21,LD862_21,CL243_21,E027_M,delicata,C_28_Topical,28,control,13/2/2022,2021/22,14/1/2022,14,30,44,0.112,8.14,5.29,0.103,16,23,3/6/2022,29,41,0.466,LD862_21,NA,NA,NA,NA,,LD862_21,ALIVE,NA,,,,
EG866_21,LD866_21,CL244_21,E025_M,delicata,C_28_Topical,28,control,13/2/2022,2021/22,14/1/2022,14,30,44,0.141,8.44,5.58,0.119,17,26,3/6/2022,29,43,0.432,LD866_21,NA,NA,NA,NA,,LD866_21,ALIVE,NA,,,,
EG856_21,LD856_21,CL242_21,E015_M,delicata,CORT_28_5pg_Topical,28,low,13/2/2022,2021/22,14/1/2022,14,30,44,0.137,8.54,5.55,0.115,17,26,3/6/2022,30,47,0.456,LD856_21,NA,NA,NA,NA,,LD856_21,ALIVE,NA,,,,
EG859_21,LD859_21,CL243_21,E027_M,delicata,CORT_28_10pg_Topical,28,high,14/2/2022,2021/22,14/1/2022,14,31,45,0.11,7.65,5.17,0.109,15,23,3/6/2022,28,45,0.428,LD859_21,10/8/2022,30,43,0.522,PR,LD859_21,ALIVE,NA,,,,
EG864_21,LD864_21,CL243_21,E027_M,delicata,CORT_28_5pg_Topical,28,low,14/2/2022,2021/22,14/1/2022,14,31,45,0.112,8.04,5.31,0.112,16,25,3/6/2022,29,42.5,0.43,LD864_21,10/8/2022,29,44,0.476,PR,LD864_21,ALIVE,NA,,,,
EG852_21,LD852_21,CL241_21,E018_F120,delicata,CORT_28_5pg_Topical,28,low,15/2/2022,2021/22,14/1/2022,14,32,46,0.109,8.26,5.09,0.107,17,24,3/6/2022,31.5,42,0.489,LD852_21,10/8/2022,29,52,0.725,DCL,LD852_21,ALIVE,NA,,,,
EG739_21,LD739_21,CL212_21,E025_M,delicata,CORT_23_10pg_Topical,23,high,18/2/2022,2021/22,1/1/2022,1,48,49,0.175,8.28,6.42,0.13,16,24,3/6/2022,33.5,51,0.674,LD739_21,10/8/2022,36,59,0.927,,LD739_21,ALIVE,NA,,,,
EG732_21,LD732_21,CL211_21,E018_M,delicata,C_23_Topical,23,control,20/2/2022,2021/22,1/1/2022,1,50,51,0.151,8.27,6.03,0.134,17,24,3/6/2022,31,43.5,0.578,LD732_21,10/8/2022,39,54,0.721,DCL,LD732_21,ALIVE,NA,,,,
EG754_21,LD754_21,CL216_21,E014_M,delicata,C_23_Topical,23,control,20/2/2022,2021/22,1/1/2022,1,50,51,0.161,8.61,6.49,0.131,19,26,3/6/2022,31,42,0.547,LD754_21,10/8/2022,33,61,0.72,DCL,LD754_21,ALIVE,NA,,,,
EG753_21,LD753_21,CL216_21,E014_M,delicata,CORT_23_5pg_Topical,23,low,20/2/2022,2021/22,1/1/2022,1,50,51,0.165,9.29,6.18,0.134,18,28,3/6/2022,30,44,0.486,LD753_21,10/8/2022,32,53,0.656,DCL,LD753_21,ALIVE,NA,,,,
EG775_21,LD775_21,CL220_21,E019_M,delicata,C_23_Topical,23,control,20/2/2022,2021/22,5/1/2022,5,46,51,0.165,8.11,6.32,0.122,16,23,3/6/2022,27,35,0.35,LD775_21,10/8/2022,27,38,0.4,PR,LD775_21,ALIVE,NA,,,,
EG721_21,LD721_21,CL209_21,E004_F120,delicata,C_23_Topical,23,control,21/2/2022,2021/22,1/1/2022,1,51,52,0.102,9.08,4.67,0.128,18,25,3/6/2022,34,46,0.626,LD721_21,NA,NA,NA,NA,,LD721_21,ALIVE,NA,,,egg dehydrated quite bad,egg dehydrated quite bad
EG737_21,LD737_21,CL212_21,E025_M,delicata,C_23_Topical,23,control,21/2/2022,2021/22,1/1/2022,1,51,52,0.162,7.84,6.64,0.137,19,26,3/6/2022,36,49,0.74,LD737_21,10/8/2022,41,57,1.027,DCL,LD737_21,ALIVE,NA,,,,
EG730_21,LD730_21,CL211_21,E018_M,delicata,CORT_23_10pg_Topical,23,high,21/2/2022,2021/22,1/1/2022,1,51,52,0.162,8.29,6.38,0.128,17,25,3/6/2022,28,38.5,0.447,LD730_21,10/8/2022,32,45,0.538,DCL,LD730_21,ALIVE,NA,,,,
EG723_21,LD723_21,CL209_21,E004_F120,delicata,CORT_23_5pg_Topical,23,low,21/2/2022,2021/22,1/1/2022,1,51,52,0.118,8.47,5.46,0.139,19,25,3/6/2022,31.5,45,0.505,LD723_21,10/8/2022,35,46,0.723,DCL,LD723_21,ALIVE,NA,,tail fell off,"egg litle dehydrated, but fine","egg litle dehydrated, but fine"
EG738_21,LD738_21,CL212_21,E025_M,delicata,CORT_23_5pg_Topical,23,low,21/2/2022,2021/22,1/1/2022,1,51,52,0.165,8.48,6.56,0.137,18,27,3/6/2022,29.5,44,0.469,LD738_21,NA,NA,NA,NA,,LD738_21,ALIVE,NA,,,,
EG769_21,LD769_21,CL219_21,E004_F120,delicata,C_23_Topical,23,control,21/2/2022,2021/22,5/1/2022,5,47,52,0.19,9.9,6.16,0.142,18,27,3/6/2022,30,46,0.502,LD769_21,10/8/2022,34,33,0.668,DCL,LD769_21,ALIVE,NA,,,,
EG768_21,LD768_21,CL219_21,E004_F120,delicata,CORT_23_5pg_Topical,23,low,21/2/2022,2021/22,5/1/2022,5,47,52,0.182,9.24,6,0.138,18,23,3/6/2022,30,49.5,0.558,LD768_21,NA,NA,NA,NA,,LD768_21,ALIVE,NA,,,,
EG760_21,LD760_21,CL217_21,E014_M,delicata,C_23_Topical,23,control,22/2/2022,2021/22,1/1/2022,1,52,53,0.114,8.09,5.35,0.138,18,24,3/6/2022,27.5,42,0.478,LD760_21,10/8/2022,31,46,0.622,PR,LD760_21,ALIVE,NA,,,,
EG746_21,LD746_21,CL214_21,E007_F120,delicata,C_23_Topical,23,control,23/2/2022,2021/22,1/1/2022,1,53,54,0.119,8.68,5.49,0.129,17,25,3/6/2022,31,45,0.496,LD746_21,10/8/2022,34,54,0.742,PR,LD746_21,ALIVE,NA,,,,
EG748_21,LD748_21,CL215_21,E017_M,delicata,CORT_23_10pg_Topical,23,high,23/2/2022,2021/22,1/1/2022,1,53,54,0.157,8,6.37,0.136,19,24,3/6/2022,29.5,43,0.458,LD748_21,10/8/2022,32,41,0.641,DCL,LD748_21,ALIVE,NA,,,,
EG791_21,LD791_21,CL224_21,E019_F120,delicata,CORT_23_10pg_Topical,23,high,23/2/2022,2021/22,7/1/2022,7,47,54,0.143,8.5,5.79,0.125,17,23,3/6/2022,30,44,0.477,LD791_21,10/8/2022,35,53,0.825,PR,LD791_21,ALIVE,NA,,,,
EG797_21,LD797_21,CL226_21,E030_M,delicata,CORT_23_5pg_Topical,23,low,23/2/2022,2021/22,7/1/2022,7,47,54,0.145,7.54,6.18,0.128,18,23,3/6/2022,29,44,0.426,LD797_21,NA,NA,NA,NA,,LD797_21,ALIVE,NA,,,,
EG729_21,LD729_21,CL210_21,E001_F120,delicata,CORT_23_5pg_Topical,23,low,24/2/2022,2021/22,1/1/2022,1,54,55,0.126,7.98,5.42,0.114,18,24,3/6/2022,28.5,41,0.389,LD729_21,10/8/2022,28,40,0.448,PR,LD729_21,ALIVE,NA,,,,
EG747_21,LD747_21,CL214_21,E007_F120,delicata,CORT_23_5pg_Topical,23,low,24/2/2022,2021/22,1/1/2022,1,54,55,0.115,8.83,5.21,0.131,17,23,3/6/2022,30.5,45,0.518,LD747_21,10/8/2022,33,49,0.778,PR,LD747_21,ALIVE,NA,,,,
