eggID,bd_liz_id,clutch,egg_encl_ID,species,trt,temp,hormone,mortality_db,liz_status_db,hatch_date_ymd,mortality_date_dmy,season,date_egg_laid_.day.m.year..,Julian_lay,days_to_hatch,Julian_hatch_date,Julian_remeasured,days_posthatch,egg_mass,egg_length_mm,egg_width_mm,bd_mass_orig,bd_svl_orig_mm,bd_tail_orig_mm,bd_totl_orig,remeasure_date,remeasure_SVL,remeasure_tail,remeasure_mass,re_measure_notes,bd_liz_id.1,measure_date_juv2,measure_SVL_juv2,measure_tail_juv2,measure_mass_juv2,measure_notes_juv2,person_juv2,notes_juv2,notes_db
EG795_21,LD795_21,CL225_21,E030_M,delicata,CORT_23_5pg_Topical,23,low,1,ALIVE,22/2/25,,2021/22,7/1/22,7,49,56,154,98,0.158,7.32,6.39,0.116,16,24,,3/6/22,3.05,4.3,0.531,,LD795_21,10/8/22,3.4,4.9,0.746,,PR,,
EG797_21,LD797_21,CL226_21,E030_M,delicata,CORT_23_5pg_Topical,23,low,1,ALIVE,22/2/23,,2021/22,7/1/22,7,47,54,154,100,0.145,7.54,6.18,0.128,18,23,,3/6/22,2.9,4.4,0.426,,LD797_21,,NA,NA,NA,,,,
EG780_21,LD780_21,CL221_21,E018_M,delicata,CORT_28_10pg_Topical,28,high,1,ALIVE,22/2/06,,2021/22,7/1/22,7,30,37,154,117,0.131,8.12,5.5,0.123,18,26,,3/6/22,3,4.3,0.537,,LD780_21,10/8/22,3.2,4.7,0.708,,PR,,
EG786_21,LD786_21,CL222_21,E031_M,delicata,CORT_28_10pg_Topical,28,high,1,ALIVE,22/2/24,,2021/22,7/1/22,7,48,55,154,99,0.172,9.18,6.07,0.125,18,27,,3/6/22,2.9,4.2,0.42,,LD786_21,10/8/22,3.3,4.4,0.636,,PR,,
EG792_21,LD792_21,CL224_21,E019_F120,delicata,CORT_28_10pg_Topical,28,high,1,ALIVE,22/2/06,,2021/22,7/1/22,7,30,37,154,117,0.126,8.3,5.58,0.113,17,24,,3/6/22,2.8,3.6,0.364,,LD792_21,10/8/22,3.2,4.3,0.532,,PR,,
EG798_21,LD798_21,CL226_21,E030_M,delicata,CORT_28_10pg_Topical,28,high,1,ALIVE,22/2/06,,2021/22,7/1/22,7,30,37,154,117,0.14,7.03,5.92,0.12,18,23,,3/6/22,2.75,3.9,0.4,,LD798_21,10/8/22,3.2,4.7,0.585,,DCL,,
EG801_21,LD801_21,CL227_21,E009_M,delicata,CORT_28_10pg_Topical,28,high,1,ALIVE,22/2/04,,2021/22,7/1/22,7,28,35,154,119,0.16,8.27,6.34,0.096,16,24,,,NA,NA,NA,,LD801_21,,NA,NA,NA,,,,
EG783_21,LD783_21,CL221_21,E018_M,delicata,CORT_28_5pg_Topical,28,low,0,DEAD,22/2/06,6/2/22,2021/22,7/1/22,7,30,37,154,117,0.129,7.52,5.53,0.116,17,23,,,NA,NA,NA,,LD783_21,,NA,NA,NA,,,died after hatching; 6/2/22,died after hatching; 6/2/22
EG787_21,LD787_21,CL222_21,E031_M,delicata,CORT_28_5pg_Topical,28,low,1,DEAD,22/2/07,22/6/22,2021/22,7/1/22,7,31,38,154,116,0.18,9.37,6.22,0.149,18,28,,3/6/22,2.8,3.7,0.407,labelled 772 but there is another 772 and based on date 787,LD787_21,,NA,NA,NA,,,,Found dead 22/06/2022
EG799_21,LD799_21,CL226_21,E030_M,delicata,CORT_28_5pg_Topical,28,low,0,DEAD,22/2/04,4/2/22,2021/22,7/1/22,7,28,35,154,119,0.137,6.99,6.04,0.084,16,21,,,NA,NA,NA,,LD799_21,,NA,NA,NA,,,died after hatching; 4/2/22,died after hatching; 4/2/22
