Egg_ID,bd_liz_id,toeClip,TissueBox,sex,clutch,egg_encl_ID,mating_encl_ID,current_encl,species,trt,mortality,liz_status,season,date_egg_laid_(day/m/year)),date_egg_laid_(year/m/day),hatch_date_(year/m/day),Hatch_data_(day/m/year),egg_mass,egg_length_mm,egg_width_mm,post_extract_mass,X.reduction,bd_mass_orig,bd_svl_orig_mm,bd_tail_orig_mm,bd_totl_orig,notes,feeding_expt,metabolism,behaviour,feed_date_start,metab_start_date,growth,albumin,
EG128,LD624,"""5440""",Box 1.21,m,CL49,E8,E007_M,E007_M,delicata,A-23,0,ALIVE,2019/20,,19/12/08,20/1/22,,0.146,7.6,5.8,0.121,20/1/22,0.087,16.683,21.309,37.992,,NA,NA,NA,NA,NA,NA,0,
EG114,LD622,"""1340""",Box 1.21,m,CL44,E13,E015_M,E015_M,delicata,C-23,0,ALIVE,2019/20,,19/12/03,20/1/21,,0.108,7.45,4.96,NA,20/1/21,0.099,16.906,22.595,39.501,,NA,NA,NA,NA,NA,NA,0,
EG091,LD620,"""42(13)(23)""",Box 1.21,m,CL37,E13,E013_M,E013_M,delicata,C-23,0,ALIVE,2019/20,,19/11/27,20/1/15,,0.108,8.77,4.77,NA,20/1/15,0.105,15.821,25.878,41.699,most likely multiple clutches but all eggs laid close together,NA,NA,NA,NA,NA,NA,0,
EG098,LD619,"""2022""",Box 1.21,m,CL38,E6,E010_M,E010_M,delicata,A-23,0,ALIVE,2019/20,,19/11/27,20/1/15,,0.123,8.29,4.83,0.096,20/1/15,0.085,17.225,21.851,39.076,eggs together,NA,NA,NA,NA,NA,NA,0,
EG097,LD618,"""3053""",Box 1.21,f,CL38,E6,E016_M,E016_M,delicata,C-23,0,ALIVE,2019/20,,19/11/27,20/1/14,,0.106,7.69,4.76,NA,20/1/14,0.104,16.718,22.977,39.695,eggs together; Re-did length photograph on 15.01.20 (wasn't done properly first time),NA,NA,NA,NA,NA,NA,0,
EG060,LD617,"""1004""",Box 1.21,f,CL029,E15,E009_M,,delicata,A-23,1,DEAD,2019/20,,19/11/24,20/1/13,,0.099,7.44,4.71,0.071,20/1/13,0.062,17.106,21.284,32.437,Re-did length photograph on 15.01.20 (wasn't done properly first time),NA,NA,NA,NA,NA,NA,0,
EG101,LD616,"""5300""",Box 1.21,f,CL39,E12,E015_M,E015_M,delicata,C-23,0,ALIVE,2019/20,,19/11/27,20/1/13,,0.115,7.51,4.89,NA,20/1/13,0.093,17.288,21.894,39.182,eggs together; Re-did length photograph on 15.01.20 (wasn't done properly first time),NA,NA,NA,NA,NA,NA,0,
EG063,LD615,"""0330""",Box 1.21,f,CL029,E15,E014_M,NA,delicata,C-23,1,DEAD,2019/20,,19/11/24,20/1/13,,0.106,8.36,4.79,NA,20/1/13,0.105,16.881,24.695,41.576,"Re-did length photograph on 15.01.20 (wasn't done properly first time), died 10/11/21",NA,NA,NA,NA,NA,NA,0,
EG039,LD612,"""(45)420""",Box 1.21,m,CL021,E14,E016_M,E016_M,delicata,C-23,0,ALIVE,2019/20,,19/11/22,20/1/13,,0.113,8.56,4.71,NA,20/1/13,0.102,17.664,22.663,40.327,eggs stuck together; Re-did length photograph on 15.01.20 (wasn't done properly first time),NA,NA,NA,NA,NA,NA,0,
EG047,LD610,"""4500""",Box 1.21,m,CL023,E8,E014_M,,delicata,C-23,0,ALIVE,2019/20,,19/11/24,20/1/13,,0.124,8.48,4.72,NA,20/1/13,0.12,17.48,26.632,44.112,Re-did length photograph on 15.01.20 (wasn't done properly first time),NA,NA,NA,NA,NA,NA,0,
